"Name","Address","Zip","Amount"
"BOSTON PUB                    ","8202 N LOOP 1604 W STE 117    ",78249,800341
"HIGHLANDER BAR & GRILL        ","5562 FREDERICKSBURG RD        ",78229,785182
"PAPA'S                        ","9200 BROADWAY ST              ",78217,246941
"THE REPUBLIC OF TEXAS         ","526 RIVERWALK                 ",78205,1093024
"TIAGO'S CABO GRILLE           ","8403 STATE HIGHWAY 151 STE 1  ",78245,216473
"BIG LOU'S BURGERS & BAR-B-Q   ","2014 S WW WHITE RD            ",78222,124556
"TAKIZA                        ","3111 TPC PKWY STE 101         ",78259,1086
"JOE'S CRAB SHACK              ","4711 NW LOOP 410              ",78229,307685
"CHILI'S GRILL & BAR           ","849 E COMMERCE ST STE 109     ",78205,383355
"CHUY'S                        ","15639 W INTERSTATE 10         ",78249,1075514
"MCFINNIGAN                    ","23127 W INTERSTATE 10 # 201   ",78257,565673
"MAIN STREET BAR AND CO        ","13477 WETMORE RD              ",78247,321279
"PIRATE TAVERN                 ","8748 GRISSOM RD STE 2         ",78251,469402
CHARLIE BROWNS NEIGHBORHOOD BA,"11888 STARCREST DR STE 101    ",78247,486716
"GOLDEN WOK                    ","8822 WURZBACH RD              ",78240,109864
"THE TEXAN II                  ","114 JEFFERSON ST              ",78205,449468
"CLUB RIO                      ","13307 SAN PEDRO AVE STE A     ",78216,792408
"THE IRISH PUB                 ","9726 DATAPOINT DR             ",78229,645082
"MARRIOTT PLAZA SAN ANTONIO    ","555 S ALAMO ST                ",78205,395146
"WETMORE CITY LIMITS           ","12329 WETMORE RD              ",78247,618330
"LA GLORIA                     ","9800 AIRPORT BLVD             ",78216,544276
"TRE TRATTORIA                 ","4003 BROADWAY ST              ",78209,405117
"54TH STREET GRILL & BAR       ","7735 NW LOOP 410              ",78245,1298011
TEXAS LAND & CATTLE STEAK HOUS,"201 N ST MARY'S               ",78205,486040
"LOGAN'S ROADHOUSE             ","5423 W LOOP 1604 N            ",78253,286425
LUCKY MONKEY SPORTSBAR AND LOU,"8143 LATIGO PLZ               ",78227,183122
"CAFE AMORE                    ","4553 N LOOP 1604 W STE 1113   ",78249,2091
"HOLIDAY INN HOTEL SAN ANTONIO ","77 NE LOOP 410                ",78216,285223
"CABANA BEVERAGES INC          ","8213 MARBACH RD               ",78227,101109
"ZOMBIES                       ","4202 THOUSAND OAKS DR         ",78217,164434
"BARTON'S BOOZERY, INC.        ","7050 W MILITARY DR            ",78227,508121
"JW'S BRACKEN SALOON           ","18400 FM 2252                 ",78266,121868
BOURBON STREET SEAFOOD KITCHEN,"2815 N LOOP 1604 E STE 106    ",78232,282071
"LITTLE RHEIN STEAK HOUSE INC  ","231 S ALAMO ST                ",78205,1167884
"BIG LOU'S PIZZA               ","2048 S WW WHITE RD            ",78222,581955
"SALSALITO CANTINA             ","14535 NACOGDOCHES RD          ",78247,221001
"KUMORI SUSHI & TEPPANYAKI     ","700 E SONTERRA BLVD STE 308   ",78258,134630
"BAR LOUIE                     ","15900 LA CANTERA PKWY STE 22  ",78256,1398386
"ALAMO CAFE                    ","10060 W IH 10                 ",78230,234204
"NEW ORLEANS BAR               ","226 W BITTERS RD STE 105      ",78216,261600
"COWBOYS                       ","3030 LOOP 410 NORTHEAST       ",78218,4140555
CHELSEA'S CATERING AND BAR SER,"701 MONTANA ST                ",78203,879295
"RAINBOW LOUNGE                ","4970 W MILITARY DR            ",78242,13768
"I H 10 BOWL INC               ","12332 W IH 10                 ",78230,516122
"APPLEJAM BEVERAGE INC.        ","1305 N FM 1604 W              ",78258,352176
"PAPA WOODY'S ROADHOUSE        ","8902 S PRESA ST               ",78223,233090
SLICK WILLIE'S FAMILY POOL HAL,"6436 NW LOOP 410              ",78238,331980
LUCKY MONKEY SPORTS BAR & LOUN,"8143 LATIGO PLZ               ",78227,183122
"BAR CENTRAL                   ","442 W HILDEBRAND AVE          ",78212,57910
"TACO CABANA                   ","8516 FREDERICKSBURG ROAD      ",78229,45778
"PALENQUE GRILL                ","389 N LOOP 1604 W             ",78232,458700
ARAMARK EDUCATIONAL SERVICES O,"6900 N LOOP 1604 W            ",78249,14885
"STEELY NEVADA'S               ","7530 BANDERA RD STE 138       ",78238,364265
"PERICO'S MEXICAN CUISINE      ","11075 W INTERSTATE 10 STE 20  ",78230,757716
"SILVER SCREEN BAR             ","21025 ENCINO COMMONS STE 100  ",78258,246026
"DICK'S LAST RESORT            ","406 NAVARRO ST                ",78205,1766819
"TILTED KILT PUB & EATERY      ","2070 N LOOP 1604 E            ",78232,1835046
"TAQUERIA CAZDORES & SEAFOOD   ","927 RITTIMAN RD               ",78209,77428
"THE STEER                     ","735 SE MILITARY DR            ",78214,419367
"SILVERHORN GOLF CLUB OF TEXAS ","1100 E BITTERS RD             ",78216,237375
"LOCOE'S SPORTS BAR            ","1375 AUSTIN HWY               ",78209,120716
"PEGASUS                       ","1402 N MAIN AVE               ",78212,1386356
"TACO CABANA                   ","8315 BANDERA ROAD             ",78250,44115
"THE WILD RHINO SPORTS BAR     ","1422 SW MILITARY DR           ",78221,11242
"THE 151 SALOON                ","10619 WESTOVER HILLS BLVD     ",78251,93533
"VALENCIA ORANGES INC          ","150 E HOUSTON ST              ",78205,1126221
"WAX CLUB LOUNGE               ","2211 SAN PEDRO AVE            ",78212,31968
"CAMARON PELADO SEAFOOD GRILL  ","2918 W COMMERCE ST            ",78207,71855
LEGENDS SPORTS BAR & BILLIARDS,"1305 SW LOOP 410 STE 208      ",78227,621509
SHERLOCK'S BAKER ST PUB PARK O,"16620 SAN PEDRO AVE STE 1     ",78232,1750756
"NEKTAR                        ","19239 STONE OAK PKWY STE 110  ",78258,1096445
"PUZZLES TAVERN                ","3111 TPC PKWY STE 106         ",78259,347751
