Name,Address,Zip,Amount
"POLLO TROPICAL BEVERAGES, LLC                     ",6819 N LOOP 1604 W,78249,4728
SILVERHORN GOLF CLUB OF TEXAS,1100 E BITTERS RD,78216,261293
BOWLERO,13307 SAN PEDRO AVE,78216,386704
SAN ANTONIO COUNTRY CLUB,4100 N NEW BRAUNFELS AVE,78209,1193037
LANDRY'S SEAFOOD HOUSE,"517 N PRESA ST,1ST-2ND FLOORS & BASEMENT",78205,1204889
THE DSPOT,6322 SAN PEDRO AVE,78216,82408
SHERATON GUNTER HOTEL,205 E HOUSTON ST,78205,692248
PAPA NACHOS,203 N LOOP 1604 W STE 180,78232,140121
"PNK (SAZ), LLC                                    ",1 RETAMA PKWY,78154,736594
UPTOWN 78 LOUNGE,8250 FM 78 STE 108,78109,87990
ACENAR,146 E HOUSTON ST,78205,1572879
SHENANIGANS CLUB,4032 VANCE JACKSON RD,78213,171621
COURTYARD SAN ANTONIO,5815 RIM PASS DR,78257,84457
SPY BAR,826 SAN PEDRO AVE,78228,126473
RAINFOREST CAFE,110 E CROCKETT ST,78205,841688
WING DADDY'S SAUCE HOUSE #6,10730 POTRANCO RD STE 129,78251,649266
TACO PALENQUE,1002 NE LOOP 410,78209,20754
BOTTOMS UP SPORTS BAR & GRILL,6938 W MILITARY DR,78227,2015
LION & ROSE,8211 AGORA PKWY,78154,557101
HARLANDALE MEMORIAL VFW POST 4815,3111 COMMERCIAL AVE,78221,27457
TAQUERIA MEXICO,7167 SOMERSET RD,78211,303740
"REBECCA CREEK DISTILLERY, LLC                     ",26605 BULVERDE RD STE B,78260,13466
AMC THEATRES ALAMO IMAX 2,849 E COMMERCE ST STE 483,78205,11934
BONEHEADZ SPORTS PUB,9503 CONSOLE DR,78229,540205
WILLIE'S GRILL & ICEHOUSE,4051 N LOOP 1604 W,78257,457405
MCFINNIGAN,23127 W INTERSTATE 10 # 201,78257,522991
KEMS RESTAURANT & BAR,19280 REDLAND RD,78259,40768
TORO TACO BAR,114 BROOKLYN AVE,78202,0
SABOR,6809 N LOOP 1604 W,78249,73157
GEORGE'S KEEP,17101 LA CANTERA PKWY # P2-1P22,78256,964885
HUHOT MONGOLIAN GRILL,12710 IH 10 W STE 100 (UNIV SQUARE SHOPP,78249,25037
MENCIUS GOURMET HUNAN CHINESE RESTAURANT,7959 FREDERICKSBURG RD STE 141,78229,25545
ON THE ROCKS PUB,101 ALAMO PLZ STE 105,78205,17130
POUR HOUSE,4750 SEGUIN RD,78219,0
ZOMBIES,4202 THOUSAND OAKS DR,78217,151563
LOGAN'S ROADHOUSE,92 NE LOOP 410,78216,363506
